,0,1,2,3,4,5,6
84,"(1, 'pp', 'pp')","(1, 'pp', 'sib')","(5, 'sib', 'Tau')",,,,
85,"(1, 'po', 'Tau')",,,,,,
86,"(1, 'pp', 'Tau')",,,,,,
87,"(3, 'pp', 'va')","(1, 'va', 'va')","(1, 'va', 'va')","(1, 'va', 'pp')","(1, 'pp', 'Tau')",,
88,"(1, 'po', 'po')","(1, 'po', 'Tau')",,,,,
89,"(1, 'sib', 'Tau')",,,,,,
90,"(1, 'pp', 'sib')","(1, 'sib', 'Tau')",,,,,
91,"(1, 'sib', 'pp')","(1, 'pp', 'Tau')",,,,,
92,"(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
93,"(1, 'po', 'pp')","(1, 'pp', 'po')","(1, 'po', 'po')","(1, 'po', 'Tau')",,,
94,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
95,"(1, 'va', 'va')","(1, 'va', 'Tau')",,,,,
96,"(1, 'pp', 'pp')","(1, 'pp', 'po')","(1, 'po', 'sib')","(1, 'sib', 'Tau')",,,
97,"(1, 'va', 'va')","(2, 'va', 'Tau')",,,,,
98,"(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
99,"(1, 'pp', 'pp')","(5, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
100,"(1, 'pp', 'Tau')",,,,,,
101,"(1, 'pp', 'Tau')",,,,,,
102,"(1, 'va', 'Tau')",,,,,,
103,"(1, 'va', 'Tau')",,,,,,
104,"(1, 'va', 'va')","(1, 'va', 'Tau')",,,,,
105,"(1, 'po', 'Tau')",,,,,,
106,"(1, 'po', 'va')","(1, 'va', 'Tau')",,,,,
107,"(1, 'sib', 'va')","(1, 'va', 'Tau')",,,,,
108,"(1, 'po', 'Tau')",,,,,,
109,"(1, 'va', 'pp')","(1, 'pp', 'sib')","(1, 'sib', 'Tau')",,,,
110,"(1, 'va', 'Tau')",,,,,,
111,"(1, 'sib', 'va')","(1, 'va', 'Tau')",,,,,
112,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
113,"(1, 'sib', 'pp')","(1, 'pp', 'Tau')",,,,,
114,"(1, 'sib', 'Tau')",,,,,,
115,"(1, 'pp', 'Tau')",,,,,,
116,"(1, 'po', 'sib')","(1, 'sib', 'sib')","(1, 'sib', 'Tau')",,,,
117,"(1, 'sib', 'pp')","(1, 'pp', 'va')","(3, 'va', 'Tau')",,,,
118,"(1, 'sib', 'sib')","(1, 'sib', 'sib')","(1, 'sib', 'sib')","(1, 'sib', 'Tau')",,,
119,"(1, 'sib', 'pp')","(1, 'pp', 'Tau')",,,,,
120,"(1, 'pp', 'Tau')",,,,,,
121,"(3, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
122,"(1, 'va', 'Tau')",,,,,,
123,"(1, 'pp', 'Tau')",,,,,,
124,"(1, 'pp', 'Tau')",,,,,,
125,"(1, 'sib', 'Tau')",,,,,,
126,"(1, 'sib', 'Tau')",,,,,,
127,"(1, 'sib', 'pp')","(1, 'pp', 'Tau')",,,,,
128,"(1, 'sib', 'Tau')",,,,,,
129,"(1, 'va', 'va')","(1, 'va', 'Tau')",,,,,
130,"(1, 'sib', 'sib')","(1, 'sib', 'Tau')",,,,,
131,"(1, 'va', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
132,"(1, 'po', 'sib')","(1, 'sib', 'pp')","(1, 'pp', 'Tau')",,,,
133,"(1, 'sib', 'Tau')",,,,,,
134,"(1, 'va', 'Tau')",,,,,,
135,"(1, 'sib', 'Tau')",,,,,,
136,"(1, 'pp', 'pp')","(3, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,
137,"(1, 'pp', 'Tau')",,,,,,
138,"(1, 'va', 'va')","(1, 'va', 'Tau')",,,,,
139,"(1, 'po', 'Tau')",,,,,,
140,"(1, 'va', 'va')","(1, 'va', 'pp')","(1, 'pp', 'sib')","(1, 'sib', 'Tau')",,,
141,"(1, 'va', 'Tau')",,,,,,
142,"(1, 'po', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,
143,"(1, 'pp', 'pp')","(1, 'pp', 'sib')","(1, 'sib', 'Tau')",,,,
144,"(1, 'pp', 'sib')","(1, 'sib', 'Tau')",,,,,
145,"(1, 'sib', 'Tau')",,,,,,
146,"(1, 'sib', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,
147,"(1, 'va', 'Tau')",,,,,,
148,"(1, 'sib', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'sib')","(1, 'sib', 'pp')","(1, 'pp', 'Tau')",
149,"(1, 'va', 'pp')","(1, 'pp', 'Tau')",,,,,
150,"(1, 'po', 'Tau')",,,,,,
151,"(1, 'va', 'va')","(1, 'va', 'va')","(1, 'va', 'va')","(1, 'va', 'Tau')",,,
152,"(1, 'va', 'Tau')",,,,,,
153,"(1, 'sib', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
154,"(1, 'va', 'va')","(1, 'va', 'Tau')",,,,,
155,"(1, 'va', 'Tau')",,,,,,
156,"(1, 'po', 'Tau')",,,,,,
157,"(1, 'pp', 'Tau')",,,,,,
158,"(1, 'sib', 'Tau')",,,,,,
159,"(1, 'sib', 'sib')","(1, 'sib', 'sib')","(1, 'sib', 'Tau')",,,,
160,"(1, 'pp', 'Tau')",,,,,,
161,"(1, 'sib', 'pp')","(1, 'pp', 'Tau')",,,,,
162,"(1, 'sib', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
163,"(1, 'sib', 'sib')","(1, 'sib', 'Tau')",,,,,
164,"(1, 'pp', 'Tau')",,,,,,
165,"(1, 'pp', 'Tau')",,,,,,
166,"(1, 'po', 'sib')","(1, 'sib', 'Tau')",,,,,
167,"(1, 'po', 'Tau')",,,,,,
168,"(1, 'sib', 'Tau')",,,,,,
169,"(1, 'po', 'Tau')",,,,,,
170,"(1, 'po', 'Tau')",,,,,,
171,"(1, 'pp', 'va')","(1, 'va', 'Tau')",,,,,
172,"(1, 'sib', 'Tau')",,,,,,
173,"(1, 'va', 'Tau')",,,,,,
174,"(1, 'va', 'pp')","(1, 'pp', 'Tau')",,,,,
175,"(1, 'va', 'Tau')",,,,,,
176,"(1, 'po', 'va')","(1, 'va', 'va')","(1, 'va', 'va')","(1, 'va', 'Tau')",,,
177,"(1, 'po', 'va')","(1, 'va', 'va')","(3, 'va', 'pp')","(1, 'pp', 'Tau')",,,
178,"(1, 'po', 'Tau')",,,,,,
179,"(1, 'po', 'Tau')",,,,,,
180,"(1, 'po', 'Tau')",,,,,,
181,"(0, 'sib', 'po')","(5, 'po', 'po')","(1, 'po', 'po')","(1, 'po', 'pp')","(1, 'pp', 'Tau')",,
182,"(1, 'po', 'po')","(1, 'po', 'po')","(1, 'po', 'va')","(1, 'va', 'Tau')",,,
183,"(1, 'va', 'va')","(1, 'va', 'va')","(1, 'va', 'Tau')",,,,
184,"(1, 'po', 'Tau')",,,,,,
185,"(1, 'sib', 'sib')","(1, 'sib', 'Tau')",,,,,
186,"(1, 'sib', 'Tau')",,,,,,
187,"(1, 'va', 'Tau')",,,,,,
