,0,1,2,3,4,5,6
91,"(3, 'sib', 'Tau')",,,,,,
92,"(1, 'po', 'pp')","(3, 'pp', 'sib')","(2, 'sib', 'Tau')",,,,
93,"(0, 'pp', 'Tau')",,,,,,
94,"(4, 'po', 'va')","(5, 'va', 'Tau')",,,,,
95,"(1, 'pp', 'va')","(0, 'va', 'Tau')",,,,,
96,"(3, 'pp', 'pp')","(1, 'pp', 'sib')","(2, 'sib', 'Tau')",,,,
97,"(3, 'sib', 'pp')","(5, 'pp', 'Tau')",,,,,
98,"(5, 'sib', 'Tau')",,,,,,
99,"(1, 'sib', 'Tau')",,,,,,
100,"(3, 'va', 'va')","(1, 'va', 'Tau')",,,,,
101,"(1, 'po', 'pp')","(4, 'pp', 'Tau')",,,,,
102,"(3, 'sib', 'Tau')",,,,,,
103,"(3, 'pp', 'Tau')",,,,,,
104,"(4, 'po', 'pp')","(5, 'pp', 'pp')","(0, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
105,"(1, 'sib', 'Tau')",,,,,,
106,"(4, 'va', 'Tau')",,,,,,
107,"(0, 'va', 'po')","(1, 'po', 'Tau')",,,,,
108,"(0, 'sib', 'Tau')",,,,,,
109,"(1, 'sib', 'Tau')",,,,,,
110,"(5, 'po', 'pp')","(6, 'pp', 'Tau')",,,,,
111,"(3, 'po', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
112,"(5, 'va', 'Tau')",,,,,,
113,"(3, 'sib', 'Tau')",,,,,,
114,"(5, 'va', 'va')","(1, 'va', 'va')","(2, 'va', 'Tau')",,,,
115,"(5, 'sib', 'Tau')",,,,,,
116,"(5, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
117,"(3, 'pp', 'pp')","(5, 'pp', 'pp')","(4, 'pp', 'pp')","(5, 'pp', 'Tau')",,,
118,"(2, 'sib', 'Tau')",,,,,,
119,"(1, 'po', 'pp')","(1, 'pp', 'va')","(0, 'va', 'Tau')",,,,
120,"(3, 'sib', 'sib')","(1, 'sib', 'Tau')",,,,,
121,"(1, 'sib', 'Tau')",,,,,,
122,"(1, 'pp', 'Tau')",,,,,,
123,"(5, 'pp', 'pp')","(0, 'pp', 'va')","(1, 'va', 'Tau')",,,,
124,"(6, 'va', 'pp')","(5, 'pp', 'Tau')",,,,,
125,"(2, 'pp', 'va')","(4, 'va', 'Tau')",,,,,
126,"(5, 'pp', 'pp')","(3, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
127,"(5, 'sib', 'Tau')",,,,,,
128,"(4, 'va', 'Tau')",,,,,,
129,"(4, 'va', 'sib')","(5, 'sib', 'va')","(5, 'va', 'pp')","(5, 'pp', 'pp')","(3, 'pp', 'Tau')",,
130,"(2, 'po', 'po')","(6, 'po', 'po')","(3, 'po', 'Tau')",,,,
131,"(2, 'sib', 'Tau')",,,,,,
132,"(6, 'va', 'va')","(0, 'va', 'Tau')",,,,,
133,"(0, 'po', 'po')","(5, 'po', 'Tau')",,,,,
134,"(6, 'po', 'po')","(6, 'po', 'pp')","(4, 'pp', 'Tau')",,,,
135,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
136,"(5, 'sib', 'pp')","(4, 'pp', 'pp')","(6, 'pp', 'Tau')",,,,
137,"(0, 'pp', 'Tau')",,,,,,
138,"(3, 'va', 'Tau')",,,,,,
139,"(1, 'va', 'va')","(1, 'va', 'Tau')",,,,,
140,"(6, 'po', 'Tau')",,,,,,
141,"(6, 'va', 'Tau')",,,,,,
142,"(4, 'va', 'va')","(0, 'va', 'pp')","(2, 'pp', 'va')","(3, 'va', 'po')","(4, 'po', 'Tau')",,
143,"(3, 'pp', 'Tau')",,,,,,
144,"(5, 'pp', 'Tau')",,,,,,
145,"(6, 'sib', 'po')","(6, 'po', 'pp')","(0, 'pp', 'Tau')",,,,
146,"(2, 'sib', 'Tau')",,,,,,
147,"(0, 'va', 'pp')","(5, 'pp', 'pp')","(1, 'pp', 'va')","(2, 'va', 'Tau')",,,
148,"(2, 'sib', 'va')","(0, 'va', 'Tau')",,,,,
149,"(4, 'sib', 'Tau')",,,,,,
