,0,1,2,3,4,5,6
1466,"(2, 'va', 'va')","(2, 'va', 'Tau')",,,,,
1467,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,
1468,"(2, 'po', 'Tau')",,,,,,
1469,"(2, 'va', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'po')"
1470,"(2, 'va', 'Tau')",,,,,,
1471,"(2, 'po', 'po')","(2, 'po', 'Tau')",,,,,
1472,"(1, 'pp', 'Tau')",,,,,,
1473,"(2, 'va', 'pp')","(1, 'pp', 'po')","(2, 'po', 'va')","(2, 'va', 'pp')","(1, 'pp', 'po')","(2, 'po', 'Tau')",
1474,"(2, 'va', 'pp')","(1, 'pp', 'Tau')",,,,,
1475,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
1476,"(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'po')","(2, 'po', 'va')","(2, 'va', 'Tau')",
1477,"(2, 'sib', 'Tau')",,,,,,
1478,"(2, 'po', 'Tau')",,,,,,
1479,"(1, 'pp', 'Tau')",,,,,,
1480,"(2, 'po', 'sib')","(2, 'sib', 'Tau')",,,,,
1481,"(2, 'po', 'Tau')",,,,,,
1482,"(2, 'po', 'va')","(2, 'va', 'Tau')",,,,,
1483,"(2, 'po', 'Tau')",,,,,,
1484,"(1, 'pp', 'Tau')",,,,,,
1485,"(2, 'va', 'Tau')",,,,,,
1486,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",
1487,"(2, 'sib', 'Tau')",,,,,,
1488,"(2, 'sib', 'sib')","(2, 'sib', 'po')","(2, 'po', 'Tau')",,,,
1489,"(2, 'sib', 'Tau')",,,,,,
1490,"(2, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
1491,"(1, 'pp', 'po')","(2, 'po', 'sib')","(2, 'sib', 'Tau')",,,,
1492,"(1, 'pp', 'Tau')",,,,,,
1493,"(1, 'pp', 'po')","(2, 'po', 'Tau')",,,,,
1494,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
1495,"(2, 'va', 'Tau')",,,,,,
1496,"(2, 'va', 'Tau')",,,,,,
1497,"(1, 'pp', 'po')","(2, 'po', 'pp')","(1, 'pp', 'po')","(2, 'po', 'po')","(2, 'po', 'Tau')",,
1498,"(2, 'va', 'Tau')",,,,,,
1499,"(2, 'sib', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'po')","(2, 'po', 'Tau')",,
1500,"(2, 'sib', 'Tau')",,,,,,
1501,"(2, 'sib', 'Tau')",,,,,,
1502,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'po')"
1503,"(1, 'pp', 'Tau')",,,,,,
1504,"(2, 'po', 'Tau')",,,,,,
1505,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'po')","(2, 'po', 'Tau')",,,
1506,"(1, 'pp', 'po')","(2, 'po', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,
1507,"(2, 'sib', 'Tau')",,,,,,
1508,"(2, 'po', 'po')","(2, 'po', 'po')","(2, 'po', 'pp')","(1, 'pp', 'po')","(2, 'po', 'po')","(2, 'po', 'pp')","(1, 'pp', 'pp')"
1509,"(2, 'po', 'Tau')",,,,,,
1510,"(2, 'va', 'va')","(2, 'va', 'Tau')",,,,,
1511,"(1, 'pp', 'po')","(2, 'po', 'Tau')",,,,,
1512,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
1513,"(2, 'po', 'pp')","(1, 'pp', 'po')","(2, 'po', 'Tau')",,,,
1514,"(2, 'sib', 'Tau')",,,,,,
1515,"(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,
1516,"(2, 'sib', 'pp')","(1, 'pp', 'sib')","(2, 'sib', 'Tau')",,,,
1517,"(2, 'va', 'Tau')",,,,,,
1518,"(2, 'va', 'Tau')",,,,,,
1519,"(2, 'po', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
1520,"(1, 'pp', 'pp')","(1, 'pp', 'po')","(2, 'po', 'Tau')",,,,
1521,"(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'Tau')",
1522,"(2, 'va', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,
1523,"(2, 'va', 'va')","(2, 'va', 'Tau')",,,,,
1524,"(2, 'po', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,
1525,"(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,
1526,"(2, 'va', 'pp')","(1, 'pp', 'po')","(2, 'po', 'Tau')",,,,
1527,"(2, 'va', 'sib')","(2, 'sib', 'va')","(2, 'va', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,
1528,"(1, 'pp', 'Tau')",,,,,,
1529,"(1, 'pp', 'Tau')",,,,,,
1530,"(2, 'po', 'Tau')",,,,,,
1531,"(5, 'sib', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'po')","(2, 'po', 'Tau')",,
1532,"(2, 'sib', 'va')","(2, 'va', 'Tau')",,,,,
1533,"(2, 'sib', 'pp')","(1, 'pp', 'sib')","(2, 'sib', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'po')","(2, 'po', 'Tau')"
1534,"(2, 'po', 'po')","(2, 'po', 'Tau')",,,,,
1535,"(2, 'po', 'po')","(2, 'po', 'Tau')",,,,,
1536,"(1, 'pp', 'pp')","(1, 'pp', 'po')","(2, 'po', 'Tau')",,,,
1537,"(1, 'pp', 'po')","(2, 'po', 'sib')","(2, 'sib', 'Tau')",,,,
1538,"(1, 'pp', 'Tau')",,,,,,
1539,"(1, 'pp', 'Tau')",,,,,,
1540,"(2, 'va', 'Tau')",,,,,,
