,0,1,2,3,4,5,6
86,"(3, 'po', 'Tau')",,,,,,
87,"(0, 'pp', 'pp')","(1, 'pp', 'pp')","(4, 'pp', 'pp')","(3, 'pp', 'pp')","(6, 'pp', 'pp')","(2, 'pp', 'Tau')",
88,"(2, 'sib', 'sib')","(4, 'sib', 'Tau')",,,,,
89,"(2, 'va', 'Tau')",,,,,,
90,"(3, 'po', 'Tau')",,,,,,
91,"(5, 'pp', 'pp')","(3, 'pp', 'pp')","(6, 'pp', 'Tau')",,,,
92,"(0, 'va', 'Tau')",,,,,,
93,"(4, 'pp', 'Tau')",,,,,,
94,"(4, 'sib', 'Tau')",,,,,,
95,"(2, 'pp', 'pp')","(0, 'pp', 'po')","(1, 'po', 'Tau')",,,,
96,"(2, 'po', 'Tau')",,,,,,
97,"(0, 'po', 'va')","(5, 'va', 'pp')","(2, 'pp', 'pp')","(0, 'pp', 'pp')","(5, 'pp', 'Tau')",,
98,"(1, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
99,"(3, 'po', 'Tau')",,,,,,
100,"(0, 'va', 'va')","(0, 'va', 'va')","(6, 'va', 'pp')","(4, 'pp', 'Tau')",,,
101,"(5, 'sib', 'Tau')",,,,,,
102,"(5, 'pp', 'va')","(0, 'va', 'Tau')",,,,,
103,"(4, 'pp', 'Tau')",,,,,,
104,"(1, 'po', 'Tau')",,,,,,
105,"(4, 'po', 'Tau')",,,,,,
106,"(0, 'pp', 'pp')","(4, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
107,"(1, 'po', 'Tau')",,,,,,
108,"(6, 'po', 'pp')","(1, 'pp', 'va')","(1, 'va', 'va')","(3, 'va', 'va')","(6, 'va', 'pp')","(4, 'pp', 'Tau')",
109,"(5, 'po', 'Tau')",,,,,,
110,"(2, 'sib', 'Tau')",,,,,,
111,"(4, 'po', 'Tau')",,,,,,
112,"(1, 'va', 'pp')","(3, 'pp', 'Tau')",,,,,
113,"(0, 'sib', 'va')","(0, 'va', 'pp')","(0, 'pp', 'Tau')",,,,
114,"(2, 'po', 'Tau')",,,,,,
115,"(3, 'pp', 'Tau')",,,,,,
116,"(4, 'sib', 'Tau')",,,,,,
117,"(3, 'sib', 'Tau')",,,,,,
118,"(1, 'sib', 'Tau')",,,,,,
119,"(1, 'va', 'va')","(3, 'va', 'va')","(1, 'va', 'va')","(5, 'va', 'sib')","(6, 'sib', 'sib')","(0, 'sib', 'sib')","(5, 'sib', 'sib')"
120,"(2, 'va', 'va')","(3, 'va', 'va')","(2, 'va', 'Tau')",,,,
121,"(5, 'va', 'Tau')",,,,,,
122,"(0, 'va', 'pp')","(2, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,
123,"(5, 'va', 'va')","(3, 'va', 'va')","(6, 'va', 'pp')","(3, 'pp', 'sib')","(3, 'sib', 'Tau')",,
124,"(1, 'po', 'Tau')",,,,,,
125,"(0, 'sib', 'sib')","(3, 'sib', 'Tau')",,,,,
126,"(5, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,,
127,"(1, 'pp', 'sib')","(2, 'sib', 'Tau')",,,,,
128,"(0, 'va', 'Tau')",,,,,,
129,"(0, 'va', 'pp')","(5, 'pp', 'va')","(3, 'va', 'va')","(0, 'va', 'va')","(4, 'va', 'Tau')",,
130,"(4, 'po', 'Tau')",,,,,,
131,"(5, 'po', 'va')","(6, 'va', 'pp')","(5, 'pp', 'Tau')",,,,
132,"(4, 'po', 'Tau')",,,,,,
133,"(6, 'sib', 'Tau')",,,,,,
134,"(0, 'va', 'Tau')",,,,,,
135,"(3, 'va', 'Tau')",,,,,,
136,"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
137,"(5, 'sib', 'sib')","(0, 'sib', 'Tau')",,,,,
138,"(0, 'po', 'Tau')",,,,,,
139,"(6, 'sib', 'po')","(6, 'po', 'va')","(6, 'va', 'pp')","(3, 'pp', 'Tau')",,,
140,"(1, 'va', 'va')","(3, 'va', 'va')","(1, 'va', 'Tau')",,,,
141,"(3, 'po', 'va')","(6, 'va', 'Tau')",,,,,
142,"(2, 'va', 'Tau')",,,,,,
143,"(3, 'pp', 'sib')","(4, 'sib', 'Tau')",,,,,
144,"(3, 'pp', 'Tau')",,,,,,
145,"(3, 'po', 'pp')","(3, 'pp', 'pp')","(2, 'pp', 'pp')","(0, 'pp', 'Tau')",,,
146,"(5, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,,
147,"(2, 'sib', 'Tau')",,,,,,
148,"(1, 'po', 'Tau')",,,,,,
149,"(5, 'sib', 'Tau')",,,,,,
150,"(5, 'sib', 'va')","(2, 'va', 'va')","(2, 'va', 'Tau')",,,,
151,"(2, 'pp', 'pp')","(2, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
152,"(0, 'va', 'va')","(0, 'va', 'Tau')",,,,,
153,"(1, 'pp', 'Tau')",,,,,,
154,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
155,"(6, 'pp', 'Tau')",,,,,,
156,"(4, 'sib', 'Tau')",,,,,,
157,"(3, 'sib', 'Tau')",,,,,,
158,"(1, 'sib', 'pp')","(4, 'pp', 'pp')","(2, 'pp', 'pp')","(1, 'pp', 'va')","(3, 'va', 'Tau')",,
159,"(3, 'va', 'Tau')",,,,,,
160,"(0, 'po', 'Tau')",,,,,,
161,"(6, 'sib', 'Tau')",,,,,,
162,"(6, 'po', 'Tau')",,,,,,
163,"(1, 'va', 'Tau')",,,,,,
164,"(6, 'va', 'po')","(1, 'po', 'Tau')",,,,,
165,"(1, 'sib', 'va')","(6, 'va', 'Tau')",,,,,
166,"(4, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
167,"(2, 'pp', 'Tau')",,,,,,
168,"(6, 'pp', 'sib')","(5, 'sib', 'sib')","(0, 'sib', 'va')","(6, 'va', 'pp')","(2, 'pp', 'pp')","(6, 'pp', 'pp')","(5, 'pp', 'pp')"
169,"(5, 'po', 'Tau')",,,,,,
170,"(0, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
171,"(4, 'sib', 'Tau')",,,,,,
172,"(1, 'va', 'Tau')",,,,,,
173,"(0, 'po', 'Tau')",,,,,,
