,0,1,2,3,4,5,6
600,"(2, 'va', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'po')","(0, 'po', 'Tau')",,,
601,"(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
602,"(3, 'va', 'po')","(0, 'po', 'Tau')",,,,,
603,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
604,"(4, 'va', 'pp')","(1, 'pp', 'Tau')",,,,,
605,"(1, 'pp', 'Tau')",,,,,,
606,"(1, 'pp', 'pp')","(5, 'pp', 'pp')","(1, 'pp', 'va')","(4, 'va', 'va')","(0, 'va', 'pp')","(1, 'pp', 'Tau')",
607,"(1, 'pp', 'Tau')",,,,,,
608,"(3, 'va', 'Tau')",,,,,,
609,"(3, 'va', 'Tau')",,,,,,
610,"(1, 'pp', 'va')","(3, 'va', 'pp')","(2, 'pp', 'pp')","(1, 'pp', 'Tau')",,,
611,"(5, 'po', 'po')","(0, 'po', 'Tau')",,,,,
612,"(2, 'va', 'Tau')",,,,,,
613,"(2, 'va', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,
614,"(5, 'va', 'pp')","(1, 'pp', 'Tau')",,,,,
615,"(0, 'po', 'va')","(6, 'va', 'Tau')",,,,,
616,"(0, 'po', 'va')","(5, 'va', 'pp')","(1, 'pp', 'Tau')",,,,
617,"(0, 'po', 'po')","(0, 'po', 'Tau')",,,,,
618,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,
619,"(1, 'pp', 'sib')","(0, 'sib', 'Tau')",,,,,
620,"(0, 'po', 'Tau')",,,,,,
621,"(0, 'po', 'Tau')",,,,,,
622,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,
623,"(0, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
624,"(2, 'va', 'va')","(2, 'va', 'va')","(2, 'va', 'Tau')",,,,
625,"(2, 'va', 'Tau')",,,,,,
626,"(0, 'po', 'po')","(0, 'po', 'Tau')",,,,,
627,"(6, 'va', 'pp')","(6, 'pp', 'Tau')",,,,,
628,"(1, 'pp', 'Tau')",,,,,,
629,"(2, 'po', 'Tau')",,,,,,
630,"(0, 'po', 'Tau')",,,,,,
631,"(1, 'pp', 'sib')","(2, 'sib', 'Tau')",,,,,
632,"(0, 'po', 'va')","(2, 'va', 'sib')","(2, 'sib', 'Tau')",,,,
633,"(2, 'va', 'Tau')",,,,,,
634,"(2, 'va', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
635,"(1, 'va', 'Tau')",,,,,,
636,"(1, 'pp', 'va')","(1, 'va', 'Tau')",,,,,
637,"(1, 'va', 'pp')","(2, 'pp', 'Tau')",,,,,
638,"(2, 'va', 'Tau')",,,,,,
639,"(0, 'po', 'Tau')",,,,,,
640,"(1, 'pp', 'Tau')",,,,,,
641,"(2, 'sib', 'Tau')",,,,,,
642,"(2, 'va', 'Tau')",,,,,,
643,"(0, 'po', 'Tau')",,,,,,
644,"(1, 'po', 'va')","(2, 'va', 'Tau')",,,,,
645,"(2, 'sib', 'Tau')",,,,,,
646,"(2, 'sib', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,
647,"(2, 'sib', 'Tau')",,,,,,
648,"(2, 'va', 'va')","(2, 'va', 'Tau')",,,,,
649,"(2, 'sib', 'Tau')",,,,,,
650,"(0, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
651,"(1, 'pp', 'Tau')",,,,,,
652,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(5, 'pp', 'Tau')",,,
653,"(1, 'pp', 'Tau')",,,,,,
654,"(0, 'po', 'Tau')",,,,,,
655,"(2, 'va', 'Tau')",,,,,,
656,"(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
657,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
658,"(2, 'va', 'Tau')",,,,,,
659,"(0, 'po', 'Tau')",,,,,,
660,"(2, 'va', 'Tau')",,,,,,
661,"(2, 'va', 'Tau')",,,,,,
662,"(2, 'sib', 'Tau')",,,,,,
663,"(2, 'va', 'Tau')",,,,,,
664,"(2, 'sib', 'Tau')",,,,,,
665,"(0, 'po', 'po')","(0, 'po', 'Tau')",,,,,
666,"(0, 'po', 'va')","(2, 'va', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,
667,"(2, 'sib', 'Tau')",,,,,,
668,"(1, 'pp', 'va')","(2, 'va', 'va')","(2, 'va', 'va')","(2, 'va', 'Tau')",,,
669,"(2, 'va', 'Tau')",,,,,,
670,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
671,"(0, 'po', 'Tau')",,,,,,
672,"(2, 'va', 'va')","(2, 'va', 'Tau')",,,,,
673,"(2, 'sib', 'Tau')",,,,,,
674,"(1, 'pp', 'Tau')",,,,,,
675,"(2, 'va', 'Tau')",,,,,,
676,"(2, 'va', 'pp')","(1, 'pp', 'Tau')",,,,,
677,"(1, 'pp', 'Tau')",,,,,,
678,"(0, 'po', 'po')","(0, 'po', 'va')","(2, 'va', 'pp')","(1, 'pp', 'Tau')",,,
679,"(0, 'po', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",
680,"(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,
681,"(2, 'va', 'pp')","(1, 'pp', 'pp')","(3, 'pp', 'pp')","(1, 'pp', 'va')","(1, 'va', 'Tau')",,
682,"(1, 'pp', 'Tau')",,,,,,
683,"(2, 'sib', 'va')","(1, 'va', 'va')","(1, 'va', 'Tau')",,,,
684,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
685,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
686,"(0, 'po', 'va')","(1, 'va', 'pp')","(1, 'pp', 'Tau')",,,,
687,"(0, 'po', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'va')","(1, 'va', 'Tau')",,,
688,"(6, 'pp', 'Tau')",,,,,,
689,"(2, 'sib', 'Tau')",,,,,,
690,"(1, 'va', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'va')","(2, 'va', 'Tau')",,,
691,"(1, 'pp', 'Tau')",,,,,,
692,"(1, 'pp', 'Tau')",,,,,,
693,"(1, 'pp', 'Tau')",,,,,,
694,"(6, 'pp', 'Tau')",,,,,,
695,"(1, 'pp', 'sib')","(2, 'sib', 'Tau')",,,,,
696,"(1, 'pp', 'va')","(2, 'va', 'va')","(2, 'va', 'pp')","(2, 'pp', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'Tau')",
697,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
698,"(1, 'pp', 'Tau')",,,,,,
699,"(3, 'va', 'va')","(1, 'va', 'Tau')",,,,,
700,"(1, 'pp', 'Tau')",,,,,,
701,"(2, 'po', 'Tau')",,,,,,
702,"(1, 'va', 'Tau')",,,,,,
703,"(1, 'pp', 'po')","(2, 'po', 'sib')","(2, 'sib', 'Tau')",,,,
704,"(1, 'pp', 'Tau')",,,,,,
705,"(1, 'va', 'Tau')",,,,,,
706,"(0, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
707,"(2, 'po', 'Tau')",,,,,,
708,"(1, 'pp', 'Tau')",,,,,,
709,"(2, 'po', 'Tau')",,,,,,
710,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,
711,"(1, 'pp', 'po')","(2, 'po', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'sib')","(1, 'sib', 'Tau')",
712,"(2, 'sib', 'Tau')",,,,,,
713,"(2, 'po', 'sib')","(2, 'sib', 'Tau')",,,,,
714,"(4, 'va', 'Tau')",,,,,,
715,"(1, 'va', 'Tau')",,,,,,
716,"(6, 'va', 'Tau')",,,,,,
717,"(1, 'va', 'Tau')",,,,,,
718,"(1, 'va', 'va')","(1, 'va', 'pp')","(0, 'pp', 'pp')","(1, 'pp', 'pp')","(6, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')"
719,"(6, 'pp', 'pp')","(5, 'pp', 'pp')","(1, 'pp', 'pp')","(2, 'pp', 'pp')","(1, 'pp', 'Tau')",,
720,"(2, 'po', 'sib')","(2, 'sib', 'Tau')",,,,,
721,"(2, 'sib', 'Tau')",,,,,,
722,"(1, 'va', 'pp')","(1, 'pp', 'Tau')",,,,,
723,"(2, 'po', 'Tau')",,,,,,
724,"(2, 'po', 'Tau')",,,,,,
725,"(1, 'pp', 'Tau')",,,,,,
726,"(4, 'va', 'va')","(3, 'va', 'Tau')",,,,,
727,"(2, 'po', 'Tau')",,,,,,
728,"(2, 'po', 'Tau')",,,,,,
729,"(2, 'po', 'Tau')",,,,,,
730,"(3, 'va', 'va')","(3, 'va', 'Tau')",,,,,
731,"(3, 'va', 'Tau')",,,,,,
732,"(2, 'sib', 'Tau')",,,,,,
