,0,1,2,3,4,5,6
85,"(1, 'po', 'Tau')",,,,,,
86,"(1, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
87,"(1, 'sib', 'sib')","(1, 'sib', 'Tau')",,,,,
88,"(1, 'sib', 'sib')","(1, 'sib', 'Tau')",,,,,
89,"(1, 'va', 'va')","(1, 'va', 'Tau')",,,,,
90,"(1, 'va', 'Tau')",,,,,,
91,"(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
92,"(1, 'sib', 'sib')","(1, 'sib', 'sib')","(1, 'sib', 'va')","(1, 'va', 'Tau')",,,
93,"(1, 'va', 'va')","(1, 'va', 'pp')","(1, 'pp', 'Tau')",,,,
94,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(5, 'pp', 'pp')","(1, 'pp', 'Tau')",,
95,"(1, 'sib', 'Tau')",,,,,,
96,"(1, 'po', 'Tau')",,,,,,
97,"(1, 'sib', 'sib')","(1, 'sib', 'sib')","(1, 'sib', 'po')","(1, 'po', 'pp')","(1, 'pp', 'Tau')",,
98,"(1, 'va', 'Tau')",,,,,,
99,"(3, 'po', 'Tau')",,,,,,
100,"(1, 'po', 'Tau')",,,,,,
101,"(1, 'po', 'Tau')",,,,,,
102,"(1, 'va', 'Tau')",,,,,,
103,"(1, 'po', 'Tau')",,,,,,
104,"(1, 'pp', 'pp')","(1, 'pp', 'po')","(1, 'po', 'Tau')",,,,
105,"(1, 'sib', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
106,"(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
107,"(1, 'va', 'pp')","(6, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,
108,"(1, 'sib', 'va')","(1, 'va', 'Tau')",,,,,
109,"(1, 'sib', 'sib')","(1, 'sib', 'Tau')",,,,,
110,"(1, 'va', 'Tau')",,,,,,
111,"(1, 'va', 'Tau')",,,,,,
112,"(1, 'va', 'va')","(1, 'va', 'Tau')",,,,,
113,"(1, 'va', 'Tau')",,,,,,
114,"(2, 'pp', 'Tau')",,,,,,
115,"(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
116,"(1, 'po', 'po')","(1, 'po', 'Tau')",,,,,
117,"(1, 'va', 'Tau')",,,,,,
118,"(1, 'pp', 'Tau')",,,,,,
119,"(1, 'pp', 'Tau')",,,,,,
120,"(1, 'sib', 'Tau')",,,,,,
121,"(1, 'va', 'Tau')",,,,,,
122,"(1, 'pp', 'va')","(1, 'va', 'Tau')",,,,,
123,"(1, 'pp', 'va')","(1, 'va', 'pp')","(1, 'pp', 'Tau')",,,,
124,"(1, 'pp', 'Tau')",,,,,,
125,"(1, 'po', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(3, 'pp', 'Tau')",,,
126,"(1, 'sib', 'sib')","(1, 'sib', 'pp')","(1, 'pp', 'Tau')",,,,
127,"(1, 'sib', 'pp')","(1, 'pp', 'sib')","(1, 'sib', 'Tau')",,,,
128,"(1, 'pp', 'Tau')",,,,,,
129,"(1, 'po', 'Tau')",,,,,,
130,"(1, 'pp', 'Tau')",,,,,,
131,"(1, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
132,"(1, 'va', 'Tau')",,,,,,
133,"(1, 'pp', 'Tau')",,,,,,
134,"(1, 'sib', 'sib')","(1, 'sib', 'po')","(1, 'po', 'sib')","(1, 'sib', 'sib')","(1, 'sib', 'Tau')",,
135,"(1, 'po', 'Tau')",,,,,,
136,"(4, 'po', 'Tau')",,,,,,
137,"(1, 'pp', 'Tau')",,,,,,
138,"(1, 'va', 'Tau')",,,,,,
139,"(1, 'sib', 'Tau')",,,,,,
140,"(1, 'va', 'Tau')",,,,,,
141,"(1, 'pp', 'Tau')",,,,,,
142,"(1, 'sib', 'va')","(1, 'va', 'Tau')",,,,,
143,"(1, 'po', 'Tau')",,,,,,
144,"(1, 'va', 'pp')","(1, 'pp', 'Tau')",,,,,
145,"(1, 'pp', 'Tau')",,,,,,
146,"(1, 'pp', 'Tau')",,,,,,
147,"(0, 'sib', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,
148,"(1, 'sib', 'Tau')",,,,,,
149,"(0, 'po', 'Tau')",,,,,,
150,"(1, 'pp', 'Tau')",,,,,,
