,0,1,2,3,4,5,6
92,"(2, 'pp', 'pp')","(0, 'pp', 'va')","(3, 'va', 'va')","(1, 'va', 'Tau')",,,
93,"(6, 'sib', 'Tau')",,,,,,
94,"(0, 'pp', 'Tau')",,,,,,
95,"(6, 'pp', 'Tau')",,,,,,
96,"(1, 'pp', 'pp')","(6, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
97,"(6, 'sib', 'pp')","(6, 'pp', 'Tau')",,,,,
98,"(1, 'sib', 'sib')","(4, 'sib', 'Tau')",,,,,
99,"(5, 'pp', 'Tau')",,,,,,
100,"(5, 'va', 'Tau')",,,,,,
101,"(1, 'va', 'va')","(6, 'va', 'pp')","(1, 'pp', 'pp')","(5, 'pp', 'pp')","(4, 'pp', 'pp')","(5, 'pp', 'Tau')",
102,"(5, 'po', 'pp')","(3, 'pp', 'Tau')",,,,,
103,"(4, 'pp', 'va')","(6, 'va', 'Tau')",,,,,
104,"(3, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
105,"(1, 'sib', 'sib')","(5, 'sib', 'Tau')",,,,,
106,"(5, 'sib', 'Tau')",,,,,,
107,"(2, 'pp', 'Tau')",,,,,,
108,"(6, 'va', 'Tau')",,,,,,
109,"(0, 'sib', 'va')","(4, 'va', 'Tau')",,,,,
110,"(0, 'pp', 'pp')","(3, 'pp', 'pp')","(5, 'pp', 'va')","(2, 'va', 'va')","(5, 'va', 'va')","(0, 'va', 'Tau')",
111,"(6, 'va', 'pp')","(5, 'pp', 'Tau')",,,,,
112,"(0, 'po', 'Tau')",,,,,,
113,"(0, 'po', 'Tau')",,,,,,
114,"(3, 'pp', 'Tau')",,,,,,
115,"(4, 'pp', 'Tau')",,,,,,
116,"(0, 'po', 'po')","(6, 'po', 'pp')","(3, 'pp', 'Tau')",,,,
117,"(3, 'pp', 'Tau')",,,,,,
118,"(4, 'pp', 'va')","(1, 'va', 'Tau')",,,,,
119,"(2, 'va', 'Tau')",,,,,,
120,"(5, 'va', 'va')","(6, 'va', 'pp')","(6, 'pp', 'pp')","(2, 'pp', 'Tau')",,,
121,"(4, 'po', 'va')","(5, 'va', 'Tau')",,,,,
122,"(1, 'po', 'Tau')",,,,,,
123,"(6, 'pp', 'va')","(6, 'va', 'Tau')",,,,,
124,"(1, 'po', 'pp')","(1, 'pp', 'pp')","(0, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
125,"(6, 'va', 'Tau')",,,,,,
126,"(2, 'sib', 'Tau')",,,,,,
127,"(2, 'sib', 'Tau')",,,,,,
128,"(2, 'sib', 'Tau')",,,,,,
129,"(6, 'va', 'Tau')",,,,,,
130,"(0, 'sib', 'sib')","(4, 'sib', 'Tau')",,,,,
131,"(6, 'sib', 'pp')","(2, 'pp', 'Tau')",,,,,
132,"(3, 'va', 'pp')","(2, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,
133,"(0, 'va', 'Tau')",,,,,,
134,"(1, 'pp', 'Tau')",,,,,,
135,"(5, 'po', 'Tau')",,,,,,
136,"(0, 'po', 'po')","(3, 'po', 'Tau')",,,,,
137,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
138,"(6, 'va', 'pp')","(2, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
139,"(6, 'va', 'pp')","(4, 'pp', 'pp')","(6, 'pp', 'pp')","(0, 'pp', 'Tau')",,,
140,"(6, 'va', 'pp')","(5, 'pp', 'Tau')",,,,,
141,"(3, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
142,"(5, 'po', 'pp')","(2, 'pp', 'sib')","(2, 'sib', 'pp')","(0, 'pp', 'Tau')",,,
143,"(6, 'po', 'va')","(5, 'va', 'Tau')",,,,,
144,"(6, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
145,"(2, 'sib', 'sib')","(0, 'sib', 'va')","(5, 'va', 'Tau')",,,,
146,"(5, 'po', 'pp')","(5, 'pp', 'Tau')",,,,,
147,"(5, 'sib', 'sib')","(4, 'sib', 'Tau')",,,,,
148,"(5, 'sib', 'pp')","(1, 'pp', 'Tau')",,,,,
149,"(1, 'va', 'Tau')",,,,,,
150,"(5, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
151,"(6, 'po', 'pp')","(3, 'pp', 'Tau')",,,,,
152,"(6, 'po', 'Tau')",,,,,,
153,"(1, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
154,"(1, 'va', 'Tau')",,,,,,
155,"(5, 'sib', 'Tau')",,,,,,
156,"(0, 'pp', 'Tau')",,,,,,
157,"(0, 'sib', 'Tau')",,,,,,
158,"(1, 'pp', 'Tau')",,,,,,
159,"(5, 'va', 'Tau')",,,,,,
160,"(4, 'po', 'pp')","(3, 'pp', 'va')","(1, 'va', 'Tau')",,,,
161,"(5, 'sib', 'Tau')",,,,,,
162,"(4, 'sib', 'va')","(5, 'va', 'sib')","(3, 'sib', 'Tau')",,,,
163,"(4, 'va', 'Tau')",,,,,,
164,"(0, 'sib', 'va')","(4, 'va', 'pp')","(1, 'pp', 'pp')","(5, 'pp', 'pp')","(1, 'pp', 'va')","(0, 'va', 'pp')","(2, 'pp', 'pp')"
165,"(3, 'va', 'Tau')",,,,,,
166,"(0, 'pp', 'Tau')",,,,,,
167,"(3, 'po', 'Tau')",,,,,,
168,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
169,"(6, 'sib', 'Tau')",,,,,,
170,"(0, 'pp', 'Tau')",,,,,,
171,"(0, 'va', 'pp')","(3, 'pp', 'pp')","(2, 'pp', 'pp')","(5, 'pp', 'Tau')",,,
172,"(0, 'va', 'Tau')",,,,,,
173,"(1, 'sib', 'sib')","(6, 'sib', 'po')","(2, 'po', 'va')","(5, 'va', 'Tau')",,,
174,"(1, 'po', 'pp')","(0, 'pp', 'Tau')",,,,,
175,"(2, 'va', 'Tau')",,,,,,
176,"(3, 'po', 'po')","(5, 'po', 'po')","(3, 'po', 'po')","(1, 'po', 'Tau')",,,
177,"(0, 'sib', 'pp')","(6, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
178,"(0, 'va', 'Tau')",,,,,,
179,"(5, 'va', 'pp')","(4, 'pp', 'Tau')",,,,,
180,"(4, 'po', 'Tau')",,,,,,
181,"(5, 'pp', 'pp')","(5, 'pp', 'pp')","(5, 'pp', 'pp')","(4, 'pp', 'va')","(2, 'va', 'Tau')",,
182,"(1, 'sib', 'Tau')",,,,,,
183,"(1, 'pp', 'Tau')",,,,,,
184,"(6, 'va', 'va')","(2, 'va', 'Tau')",,,,,
185,"(5, 'pp', 'Tau')",,,,,,
186,"(2, 'sib', 'va')","(5, 'va', 'Tau')",,,,,
187,"(2, 'sib', 'Tau')",,,,,,
188,"(0, 'po', 'Tau')",,,,,,
189,"(5, 'va', 'va')","(1, 'va', 'pp')","(3, 'pp', 'Tau')",,,,
190,"(5, 'pp', 'sib')","(5, 'sib', 'Tau')",,,,,
191,"(4, 'va', 'Tau')",,,,,,
192,"(3, 'sib', 'sib')","(4, 'sib', 'Tau')",,,,,
193,"(4, 'va', 'Tau')",,,,,,
194,"(3, 'po', 'Tau')",,,,,,
195,"(6, 'pp', 'Tau')",,,,,,
196,"(2, 'po', 'Tau')",,,,,,
197,"(3, 'po', 'Tau')",,,,,,
