,0,1,2,3,4,5,6
88,"(0, 'pp', 'pp')","(5, 'pp', 'pp')","(5, 'pp', 'pp')","(0, 'pp', 'va')","(3, 'va', 'va')","(3, 'va', 'Tau')",
89,"(2, 'po', 'Tau')",,,,,,
90,"(0, 'pp', 'pp')","(6, 'pp', 'po')","(2, 'po', 'va')","(3, 'va', 'pp')","(2, 'pp', 'pp')","(4, 'pp', 'pp')","(6, 'pp', 'pp')"
91,"(2, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
92,"(6, 'sib', 'Tau')",,,,,,
93,"(5, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
94,"(6, 'sib', 'va')","(5, 'va', 'Tau')",,,,,
95,"(3, 'po', 'sib')","(2, 'sib', 'sib')","(1, 'sib', 'sib')","(0, 'sib', 'sib')","(1, 'sib', 'sib')","(6, 'sib', 'pp')","(1, 'pp', 'pp')"
96,"(1, 'pp', 'Tau')",,,,,,
97,"(3, 'po', 'Tau')",,,,,,
98,"(2, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
99,"(1, 'pp', 'va')","(1, 'va', 'Tau')",,,,,
100,"(1, 'po', 'Tau')",,,,,,
101,"(1, 'pp', 'Tau')",,,,,,
102,"(1, 'va', 'va')","(1, 'va', 'Tau')",,,,,
103,"(1, 'va', 'Tau')",,,,,,
104,"(1, 'po', 'sib')","(4, 'sib', 'sib')","(3, 'sib', 'pp')","(1, 'pp', 'Tau')",,,
105,"(1, 'pp', 'va')","(1, 'va', 'Tau')",,,,,
106,"(5, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
107,"(1, 'pp', 'Tau')",,,,,,
108,"(1, 'pp', 'Tau')",,,,,,
109,"(2, 'sib', 'Tau')",,,,,,
110,"(3, 'pp', 'Tau')",,,,,,
111,"(1, 'va', 'Tau')",,,,,,
112,"(2, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
113,"(1, 'pp', 'pp')","(1, 'pp', 'va')","(0, 'va', 'Tau')",,,,
