,0,1,2,3,4,5,6
88,"(1, 'sib', 'pp')","(2, 'pp', 'pp')","(4, 'pp', 'pp')","(0, 'pp', 'Tau')",,,
89,"(4, 'pp', 'Tau')",,,,,,
90,"(6, 'sib', 'sib')","(6, 'sib', 'sib')","(3, 'sib', 'Tau')",,,,
91,"(6, 'va', 'Tau')",,,,,,
92,"(5, 'va', 'pp')","(2, 'pp', 'Tau')",,,,,
93,"(4, 'po', 'pp')","(4, 'pp', 'Tau')",,,,,
94,"(5, 'sib', 'Tau')",,,,,,
95,"(5, 'sib', 'Tau')",,,,,,
96,"(3, 'pp', 'pp')","(5, 'pp', 'Tau')",,,,,
97,"(0, 'pp', 'pp')","(6, 'pp', 'Tau')",,,,,
98,"(2, 'sib', 'Tau')",,,,,,
99,"(5, 'pp', 'Tau')",,,,,,
100,"(2, 'pp', 'Tau')",,,,,,
101,"(0, 'va', 'Tau')",,,,,,
102,"(4, 'sib', 'Tau')",,,,,,
103,"(5, 'po', 'sib')","(1, 'sib', 'sib')","(6, 'sib', 'Tau')",,,,
104,"(0, 'po', 'pp')","(3, 'pp', 'Tau')",,,,,
105,"(2, 'sib', 'Tau')",,,,,,
106,"(5, 'va', 'Tau')",,,,,,
107,"(3, 'pp', 'pp')","(2, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
108,"(0, 'pp', 'Tau')",,,,,,
109,"(0, 'po', 'po')","(6, 'po', 'pp')","(6, 'pp', 'pp')","(3, 'pp', 'Tau')",,,
110,"(4, 'va', 'Tau')",,,,,,
111,"(3, 'sib', 'Tau')",,,,,,
112,"(4, 'va', 'va')","(3, 'va', 'va')","(0, 'va', 'Tau')",,,,
113,"(4, 'va', 'va')","(3, 'va', 'Tau')",,,,,
114,"(4, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,,
115,"(6, 'va', 'Tau')",,,,,,
116,"(1, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
117,"(3, 'po', 'pp')","(5, 'pp', 'pp')","(5, 'pp', 'va')","(1, 'va', 'Tau')",,,
118,"(3, 'va', 'Tau')",,,,,,
119,"(2, 'va', 'Tau')",,,,,,
120,"(5, 'pp', 'pp')","(5, 'pp', 'Tau')",,,,,
121,"(3, 'pp', 'pp')","(5, 'pp', 'Tau')",,,,,
122,"(4, 'po', 'pp')","(4, 'pp', 'Tau')",,,,,
123,"(2, 'sib', 'Tau')",,,,,,
124,"(1, 'va', 'Tau')",,,,,,
125,"(0, 'po', 'po')","(1, 'po', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,
126,"(5, 'va', 'pp')","(1, 'pp', 'Tau')",,,,,
127,"(0, 'po', 'Tau')",,,,,,
128,"(0, 'po', 'va')","(1, 'va', 'va')","(0, 'va', 'pp')","(4, 'pp', 'Tau')",,,
129,"(0, 'po', 'Tau')",,,,,,
130,"(6, 'sib', 'Tau')",,,,,,
131,"(1, 'pp', 'pp')","(3, 'pp', 'pp')","(4, 'pp', 'pp')","(2, 'pp', 'pp')","(0, 'pp', 'sib')","(4, 'sib', 'Tau')",
132,"(6, 'sib', 'Tau')",,,,,,
133,"(4, 'pp', 'pp')","(6, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,
134,"(1, 'sib', 'Tau')",,,,,,
135,"(0, 'va', 'pp')","(4, 'pp', 'po')","(2, 'po', 'Tau')",,,,
136,"(4, 'sib', 'Tau')",,,,,,
137,"(2, 'va', 'Tau')",,,,,,
138,"(5, 'po', 'pp')","(3, 'pp', 'Tau')",,,,,
139,"(1, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
140,"(6, 'pp', 'po')","(1, 'po', 'po')","(1, 'po', 'Tau')",,,,
141,"(2, 'po', 'Tau')",,,,,,
142,"(6, 'pp', 'Tau')",,,,,,
143,"(4, 'va', 'va')","(3, 'va', 'Tau')",,,,,
144,"(2, 'va', 'Tau')",,,,,,
145,"(1, 'va', 'pp')","(6, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
146,"(1, 'sib', 'po')","(5, 'po', 'po')","(3, 'po', 'Tau')",,,,
147,"(1, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
148,"(5, 'pp', 'Tau')",,,,,,
149,"(1, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
150,"(2, 'po', 'Tau')",,,,,,
151,"(0, 'po', 'Tau')",,,,,,
