,va,sib,pp,po
contact beeindigd/weggegaan,"{'sib': 0.03230769230769231, 'pp': 0.2907692307692308, 'va': 0.43538461538461537, 'Tau': 0.19538461538461538, 'po': 0.046153846153846156}","{'pp': 0.30434782608695654, 'sib': 0.2608695652173913, 'va': 0.21739130434782608, 'po': 0.06521739130434782, 'Tau': 0.15217391304347827}","{'pp': 0.5822884012539185, 'Tau': 0.1778996865203762, 'va': 0.1614420062695925, 'po': 0.0493730407523511, 'sib': 0.028996865203761754}","{'va': 0.23423423423423423, 'pp': 0.2972972972972973, 'po': 0.27927927927927926, 'Tau': 0.17117117117117117, 'sib': 0.018018018018018018}"
client toegesproken/gesprek met client,"{'pp': 0.26627651792245793, 'Tau': 0.20482809070958302, 'va': 0.44696415508412585, 'sib': 0.03950256035113387, 'po': 0.04242867593269934}","{'Tau': 0.18734177215189873, 'pp': 0.25316455696202533, 'po': 0.04556962025316456, 'sib': 0.389873417721519, 'va': 0.1240506329113924}","{'pp': 0.588624853915076, 'Tau': 0.18153486560186988, 'va': 0.1390728476821192, 'sib': 0.0510323334631866, 'po': 0.039735099337748346}","{'sib': 0.048295454545454544, 'va': 0.14772727272727273, 'pp': 0.35795454545454547, 'po': 0.26420454545454547, 'Tau': 0.18181818181818182}"
client afgeleid,"{'pp': 0.31962025316455694, 'va': 0.439873417721519, 'Tau': 0.1518987341772152, 'po': 0.0379746835443038, 'sib': 0.05063291139240506}","{'pp': 0.2647058823529412, 'Tau': 0.21323529411764705, 'sib': 0.41911764705882354, 'va': 0.07352941176470588, 'po': 0.029411764705882353}","{'Tau': 0.18808777429467086, 'pp': 0.6154649947753396, 'sib': 0.051201671891327065, 'va': 0.10658307210031348, 'po': 0.038662486938349006}","{'Tau': 0.20155038759689922, 'va': 0.08527131782945736, 'pp': 0.34108527131782945, 'po': 0.34108527131782945, 'sib': 0.031007751937984496}"
geen,"{'va': 0.32142857142857145, 'Tau': 0.25, 'pp': 0.25, 'sib': 0.10714285714285714, 'po': 0.07142857142857142}","{'va': 0.08099688473520249, 'sib': 0.5607476635514018, 'Tau': 0.19937694704049844, 'po': 0.037383177570093455, 'pp': 0.12149532710280374}","{'Tau': 0.1522633744855967, 'pp': 0.6049382716049383, 'va': 0.13168724279835392, 'sib': 0.07818930041152264, 'po': 0.03292181069958848}","{'va': 0.2222222222222222, 'pp': 0.4444444444444444, 'po': 0.18518518518518517, 'sib': 0.1111111111111111, 'Tau': 0.037037037037037035}"
met kracht tegen- of vastgehouden,"{'pp': 0.3826086956521739, 'va': 0.2956521739130435, 'po': 0.034782608695652174, 'Tau': 0.23478260869565218, 'sib': 0.05217391304347826}","{'pp': 0.3202614379084967, 'Tau': 0.20915032679738563, 'va': 0.0457516339869281, 'sib': 0.41830065359477125, 'po': 0.006535947712418301}","{'pp': 0.6390374331550802, 'Tau': 0.16711229946524064, 'va': 0.10494652406417113, 'sib': 0.052807486631016046, 'po': 0.03609625668449198}","{'pp': 0.52, 'po': 0.24, 'va': 0.12, 'sib': 0.08, 'Tau': 0.04}"
naar andere kamer/ruimte gestuurd,"{'va': 0.42857142857142855, 'sib': 0.03663003663003663, 'pp': 0.2802197802197802, 'Tau': 0.21978021978021978, 'po': 0.0347985347985348}","{'pp': 0.40625, 'va': 0.09375, 'Tau': 0.1875, 'po': 0.09375, 'sib': 0.21875}","{'va': 0.15687992988606486, 'pp': 0.5880806310254163, 'Tau': 0.19281332164767748, 'sib': 0.028045574057843997, 'po': 0.03418054338299737}","{'pp': 0.3218390804597701, 'va': 0.22988505747126436, 'po': 0.2413793103448276, 'Tau': 0.16091954022988506, 'sib': 0.04597701149425287}"
afzondering (deur op slot),"{'pp': 0.5783132530120482, 'sib': 0.012048192771084338, 'Tau': 0.18072289156626506, 'po': 0.08433734939759036, 'va': 0.14457831325301204}","{'pp': 0.2727272727272727, 'Tau': 0.2727272727272727, 'sib': 0.18181818181818182, 'po': 0.18181818181818182, 'va': 0.09090909090909091}","{'Tau': 0.18313253012048192, 'va': 0.15180722891566265, 'pp': 0.5421686746987951, 'sib': 0.024096385542168676, 'po': 0.09879518072289156}","{'pp': 0.5483870967741935, 'va': 0.16129032258064516, 'po': 0.12903225806451613, 'Tau': 0.12903225806451613, 'sib': 0.03225806451612903}"
