"(3, 'va', 'Tau')",,,,,,
"(3, 'po', 'po')","(3, 'po', 'Tau')",,,,,
"(3, 'sib', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
"(3, 'sib', 'sib')","(3, 'sib', 'Tau')",,,,,
"(0, 'va', 'Tau')",,,,,,
"(3, 'sib', 'Tau')",,,,,,
"(3, 'sib', 'sib')","(3, 'sib', 'Tau')",,,,,
"(3, 'po', 'po')","(3, 'po', 'pp')","(3, 'pp', 'pp')","(1, 'pp', 'Tau')",,,
"(6, 'sib', 'Tau')",,,,,,
"(3, 'va', 'va')","(3, 'va', 'va')","(3, 'va', 'po')","(3, 'po', 'po')","(3, 'po', 'Tau')",,
"(3, 'pp', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'va')","(3, 'va', 'Tau')",,,
"(3, 'va', 'pp')","(3, 'pp', 'va')","(3, 'va', 'va')","(3, 'va', 'Tau')",,,
"(3, 'po', 'va')","(3, 'va', 'Tau')",,,,,
"(3, 'po', 'Tau')",,,,,,
"(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
"(3, 'sib', 'sib')","(3, 'sib', 'Tau')",,,,,
"(3, 'va', 'pp')","(3, 'pp', 'Tau')",,,,,
"(3, 'po', 'Tau')",,,,,,
"(3, 'va', 'Tau')",,,,,,
"(3, 'va', 'Tau')",,,,,,
"(3, 'va', 'sib')","(3, 'sib', 'Tau')",,,,,
"(3, 'sib', 'Tau')",,,,,,
"(3, 'va', 'Tau')",,,,,,
"(3, 'po', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",
"(3, 'po', 'va')","(3, 'va', 'Tau')",,,,,
"(3, 'sib', 'Tau')",,,,,,
"(3, 'pp', 'Tau')",,,,,,
"(3, 'pp', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
"(3, 'sib', 'sib')","(3, 'sib', 'Tau')",,,,,
"(0, 'po', 'va')","(3, 'va', 'pp')","(3, 'pp', 'sib')","(3, 'sib', 'Tau')",,,
"(3, 'va', 'pp')","(3, 'pp', 'po')","(3, 'po', 'Tau')",,,,
"(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
"(3, 'pp', 'sib')","(3, 'sib', 'sib')","(3, 'sib', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",
"(3, 'va', 'Tau')",,,,,,
"(3, 'va', 'Tau')",,,,,,
"(3, 'sib', 'Tau')",,,,,,
"(3, 'pp', 'Tau')",,,,,,
