"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'pp', 'sib')","(4, 'sib', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'po', 'po')","(4, 'po', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
"(1, 'pp', 'po')","(4, 'po', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'sib', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'po', 'po')","(4, 'po', 'Tau')",,,,,
"(4, 'va', 'va')","(4, 'va', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'po', 'va')","(4, 'va', 'po')","(4, 'po', 'pp')","(4, 'pp', 'Tau')",,,
"(4, 'po', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'po', 'po')","(4, 'po', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'va', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'sib', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'sib', 'sib')","(4, 'sib', 'Tau')",,,,,
"(4, 'sib', 'Tau')",,,,,,
"(0, 'sib', 'Tau')",,,,,,
"(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'Tau')",,,,
"(4, 'po', 'sib')","(4, 'sib', 'va')","(4, 'va', 'Tau')",,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'po', 'po')","(1, 'po', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'po', 'po')","(4, 'po', 'sib')","(4, 'sib', 'Tau')",,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'va', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'va', 'sib')","(4, 'sib', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'po', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'po', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
"(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'Tau')",,,,
"(4, 'va', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",
"(4, 'va', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'va', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'va')","(4, 'va', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'sib', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'va', 'po')","(4, 'po', 'va')","(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'Tau')",,
"(4, 'po', 'Tau')",,,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'po', 'pp')","(4, 'pp', 'sib')","(4, 'sib', 'Tau')",,,,
"(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'po', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'po', 'po')","(4, 'po', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'po', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'po', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'va', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'va', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'po', 'va')","(4, 'va', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'po', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'sib', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'po', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'po', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'va', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'po', 'va')","(6, 'va', 'Tau')",,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'va', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'po', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'va', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'po', 'po')","(4, 'po', 'Tau')",,,,,
"(6, 'sib', 'va')","(4, 'va', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'va', 'po')","(4, 'po', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
"(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,
"(4, 'po', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'po', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
"(4, 'po', 'pp')","(4, 'pp', 'sib')","(4, 'sib', 'Tau')",,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'va', 'va')","(4, 'va', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'po', 'po')","(4, 'po', 'po')","(4, 'po', 'Tau')",,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'va', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'sib')","(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'va', 'sib')","(4, 'sib', 'Tau')",,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
"(4, 'po', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'po', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'va', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'Tau')",,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'va', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'po', 'po')","(4, 'po', 'va')","(4, 'va', 'pp')","(4, 'pp', 'Tau')",,,
"(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'Tau')",,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'Tau')",,,,
"(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'po', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'po', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
"(4, 'po', 'po')","(4, 'po', 'Tau')",,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'va', 'va')","(4, 'va', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(0, 'pp', 'pp')","(4, 'pp', 'Tau')",
"(4, 'sib', 'va')","(4, 'va', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'sib', 'po')","(4, 'po', 'Tau')",,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'po')","(4, 'po', 'va')","(4, 'va', 'sib')","(4, 'sib', 'sib')","(4, 'sib', 'Tau')",,
"(4, 'po', 'va')","(4, 'va', 'va')","(4, 'va', 'Tau')",,,,
"(4, 'va', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'va')","(4, 'va', 'po')","(4, 'po', 'Tau')",,,,
"(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'va', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'sib', 'sib')","(4, 'sib', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'sib', 'va')","(4, 'va', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'va', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'va', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'sib', 'po')","(4, 'po', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')"
"(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'po', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'po', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'po', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'po', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'sib', 'sib')","(4, 'sib', 'sib')","(4, 'sib', 'Tau')",,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'po', 'po')","(4, 'po', 'po')","(4, 'po', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,
"(4, 'po', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'va', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'va', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(6, 'pp', 'pp')","(4, 'pp', 'Tau')",,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'po', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'po', 'sib')","(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'po', 'sib')","(4, 'sib', 'po')","(4, 'po', 'Tau')",,,,
"(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
"(4, 'va', 'va')","(4, 'va', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'sib')","(4, 'sib', 'Tau')",,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'sib', 'po')","(4, 'po', 'Tau')",,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'sib')","(4, 'sib', 'Tau')",,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'sib', 'va')","(4, 'va', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'va', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
"(4, 'sib', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'Tau')",,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'sib', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'va', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'po', 'po')","(4, 'po', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'po', 'po')","(0, 'po', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(1, 'po', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'Tau')",,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'va', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'va', 'va')","(4, 'va', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'va', 'va')","(3, 'va', 'po')","(4, 'po', 'Tau')",,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'po')","(4, 'po', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'sib', 'va')","(4, 'va', 'po')","(4, 'po', 'va')","(4, 'va', 'va')","(4, 'va', 'po')","(4, 'po', 'Tau')",
"(4, 'po', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
"(4, 'po', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'sib', 'po')","(4, 'po', 'sib')","(4, 'sib', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,
"(4, 'po', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'pp')","(6, 'pp', 'po')","(4, 'po', 'Tau')",,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'pp')","(4, 'pp', 'Tau')",,,
"(4, 'po', 'va')","(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'pp')","(4, 'pp', 'Tau')"
"(4, 'po', 'va')","(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'Tau')",,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(2, 'pp', 'sib')","(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'va', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'pp', 'sib')","(4, 'sib', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'va', 'po')","(4, 'po', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'va', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'po', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'va', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'po', 'sib')","(4, 'sib', 'Tau')",,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'sib', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'sib')","(4, 'sib', 'Tau')",,,,,
"(4, 'va', 'sib')","(4, 'sib', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'po', 'va')","(4, 'va', 'va')","(4, 'va', 'Tau')",,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'sib', 'sib')","(4, 'sib', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'sib')","(4, 'sib', 'pp')","(4, 'pp', 'Tau')",
"(4, 'po', 'sib')","(4, 'sib', 'va')","(4, 'va', 'Tau')",,,,
"(3, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'po', 'po')","(4, 'po', 'Tau')",,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'po', 'po')","(4, 'po', 'Tau')",,,,,
"(4, 'va', 'sib')","(4, 'sib', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'sib', 'po')","(4, 'po', 'va')","(4, 'va', 'Tau')",,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",
"(4, 'va', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'pp')","(4, 'pp', 'Tau')",
"(4, 'po', 'po')","(4, 'po', 'Tau')",,,,,
"(4, 'po', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'sib', 'sib')","(4, 'sib', 'Tau')",,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'Tau')",,,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'po', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'sib', 'po')","(4, 'po', 'Tau')",,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'va', 'Tau')",,,,,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'po', 'po')","(4, 'po', 'po')","(4, 'po', 'sib')","(4, 'sib', 'Tau')",,,
"(4, 'sib', 'Tau')",,,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'sib', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
"(4, 'va', 'va')","(4, 'va', 'pp')","(4, 'pp', 'Tau')",,,,
"(4, 'po', 'va')","(4, 'va', 'Tau')",,,,,
