,No Drift,random Transition, similar Transition,Inverse Transition,No Drift_std,random Transition_std, similar Transition_std,Inverse Transition_std
0,-3.0,-5.8,-1.8,-2.0,2.6076809620810595,4.621688003316537,2.4819347291981715,2.5298221281347035
1,-0.4,-7.4,-1.2,-2.0,2.33238075793812,10.365326815879952,1.9390719429665317,4.560701700396552
2,-3.2,-3.2,-0.2,0.2,3.6,5.3814496188294845,0.7483314773547883,0.7483314773547883
3,-3.4,-3.8,-0.4,-0.6,3.3823069050575527,4.261455150532504,2.33238075793812,1.8547236990991407
4,0.8,-6.6,-1.0,-2.4,0.4000000000000001,4.079215610874228,2.1908902300206643,2.1540659228538015
5,-2.0,0.8,-0.8,-1.6,3.3466401061363023,0.4,2.227105745132009,3.773592452822642
6,-3.2,-4.4,-1.8,0.4,3.867815921162743,4.127953488110059,2.3151673805580453,0.48989794855663565
7,-10.0,-2.2,-0.6,-0.2,11.575836902790225,3.4292856398964493,2.727636339397171,2.4
8,-5.8,-5.4,-2.0,-7.8,7.11055553385247,5.9194594347794975,5.513619500836088,6.997142273814361
9,-1.0,-6.4,-4.4,-3.8,1.2649110640673518,5.238320341483519,6.499230723708768,8.133879763065101
10,-0.4,-6.0,0.4,0.6,1.4966629547095764,8.438009243891594,0.7999999999999999,0.48989794855663565
11,-1.2,-3.2,-3.0,-0.8,3.919183588453085,3.655133376499413,5.019960159204453,2.227105745132009
12,-8.0,-5.6,-5.8,-0.2,7.0992957397195395,8.82269800004511,7.110555533852471,1.1661903789690602
13,-1.2,-2.4,-1.2,-0.4,1.4696938456699067,2.576819745345025,2.9933259094191533,1.9595917942265426
14,-4.0,-1.6,-2.0,0.8,8.024961059095553,3.3823069050575527,2.0976176963403033,0.4
15,-4.4,-4.2,-0.6,-2.2,5.314132102234569,4.749736834815167,2.244994432064365,5.418486873657627
16,-0.4,-1.0,-6.0,0.0,1.3564659966250538,1.0954451150103321,6.06630035524124,1.0954451150103321
17,-4.0,-6.4,0.4,-3.2,4.2895221179054435,3.9293765408777004,1.2000000000000002,3.3704599092705436
18,-9.4,-7.4,-1.2,0.6,5.314132102234569,4.079215610874228,3.4871191548325386,0.8000000000000002
19,0.2,-5.0,-4.8,-2.8,0.7483314773547883,3.286335345030997,6.99714227381436,4.214261501141095
20,-0.6,-8.4,-0.8,0.8,2.244994432064365,1.7435595774162693,2.638181191654584,0.4000000000000001
