,No Drift,random Transition, similar Transition,Inverse Transition,No Drift_std,random Transition_std, similar Transition_std,Inverse Transition_std
59,-2.2,-12.8,-16.2,-13.2,2.85657137141714,5.075431016179809,2.993325909419153,4.261455150532504
60,-6.6,-11.4,-16.6,-15.2,9.748846085563152,7.735631842325486,4.586937976471886,2.315167380558045
61,-0.8,-13.4,-19.0,-20.2,1.469693845669907,6.086049621881176,3.8987177379235853,3.1240998703626617
62,-6.4,-15.4,-13.2,-15.4,4.841487374764082,6.529931086925803,6.337191807101944,5.462600113499065
63,-4.4,-12.0,-16.2,-16.0,0.7999999999999999,4.147288270665544,2.9257477676655586,1.4142135623730951
64,-1.8,-12.2,-14.8,-14.0,3.1874754901018454,8.49470423263812,2.315167380558045,1.4142135623730951
65,-2.6,-10.0,-12.6,-19.0,4.127953488110059,5.89915248150105,3.773592452822642,3.521363372331802
66,0.4,-8.4,-17.0,-17.4,0.7999999999999999,3.1368774282716245,1.4142135623730951,3.1368774282716245
67,-4.0,-18.0,-14.0,-17.2,4.049691346263317,4.0,2.9664793948382653,2.6381811916545836
68,-1.0,-13.6,-21.6,-22.6,3.03315017762062,4.673328578219168,4.673328578219169,2.727636339397171
69,-2.2,-12.8,-10.6,-12.8,1.16619037896906,6.046486583132389,5.4626001134990645,4.621688003316537
70,-4.2,-14.6,-12.4,-14.8,6.4,1.0198039027185568,5.122499389946279,3.867815921162743
71,-1.6,-15.8,-12.2,-13.2,2.154065922853802,2.315167380558045,3.370459909270543,2.481934729198171
72,-0.8,-14.2,-16.2,-23.0,3.6000000000000005,5.491812087098393,5.635601121442148,2.6076809620810595
73,-2.6,-16.6,-18.0,-18.8,2.870540018881465,6.2801273872430325,1.6733200530681511,2.0396078054371136
74,-3.4,-12.4,-13.6,-14.6,6.248199740725324,6.7111846942250075,5.0039984012787215,5.161395160225576
75,-1.8,-15.2,-16.0,-16.8,3.0594117081556713,2.9257477676655586,3.286335345030997,3.54400902933387
76,-3.8,-13.2,-11.8,-14.4,3.6,6.273754856543249,4.707440918375928,4.127953488110059
77,-4.8,-20.4,-21.6,-19.8,5.455272678794342,2.65329983228432,4.409081537009721,0.9797958971132713
78,-1.8,-12.4,-20.0,-20.6,2.7129319932501073,3.3823069050575527,4.47213595499958,3.1368774282716245
79,-4.4,-11.0,-17.0,-15.8,2.4166091947189146,3.9496835316262997,1.6733200530681511,1.4696938456699067
80,0.6,-10.2,-17.2,-19.4,0.8000000000000002,5.5641710972974225,1.7204650534085253,2.33238075793812
81,-5.4,-14.8,-14.4,-15.6,6.406246951218787,4.445222154178573,2.1540659228538015,2.4166091947189146
82,-3.4,-16.2,-16.2,-15.0,4.758150901348127,5.192301994298868,4.166533331199932,2.1908902300206643
83,-1.8,-11.0,-18.0,-18.6,3.4292856398964493,2.6076809620810595,6.663332499583072,3.7202150475476548
84,-0.6,-13.0,-14.8,-15.2,2.0591260281974,7.6681158050723255,4.578209256903839,3.54400902933387
85,0.0,-14.0,-15.0,-15.0,1.5491933384829668,8.648699324175862,2.5298221281347035,2.6076809620810595
86,-0.2,-21.6,-12.6,-15.8,1.9390719429665317,2.0591260281974,2.33238075793812,3.249615361854384
87,-1.4,-7.8,-17.8,-16.4,3.0066592756745814,8.084553172563094,4.955804677345546,3.6110940170535577
88,-4.4,-14.8,-21.6,-21.0,5.4258639865002145,4.261455150532504,4.029888335921977,3.5777087639996634
89,-2.8,-13.0,-19.0,-19.2,4.955804677345546,4.381780460041329,1.7888543819998317,1.1661903789690602
90,-1.4,-12.0,-13.8,-16.6,2.727636339397171,7.615773105863909,4.66476151587624,1.624807680927192
91,-2.0,-13.6,-15.8,-15.6,3.3466401061363023,4.841487374764082,4.261455150532504,2.33238075793812
92,-3.6,-13.8,-19.4,-21.6,2.870540018881465,5.775811631277461,3.0066592756745814,3.0724582991474434
93,-0.4,-9.0,-13.0,-13.4,1.8547236990991407,5.89915248150105,4.381780460041329,3.006659275674582
94,-2.6,-11.2,-17.0,-21.0,2.3323807579381204,8.657944328765346,6.572670690061994,4.732863826479693
95,-0.2,-12.4,-14.0,-13.4,1.4696938456699067,4.758150901348127,7.4565407529228995,2.65329983228432
96,-6.6,-10.0,-18.4,-19.8,2.4166091947189146,5.366563145999495,2.244994432064365,2.7129319932501073
97,-0.6,-12.0,-15.4,-14.8,2.0591260281974,6.6932802122726045,4.079215610874228,2.6381811916545836
98,-1.4,-16.2,-19.6,-20.0,1.854723699099141,3.059411708155671,2.4979991993593593,2.6832815729997477
99,-4.8,-15.8,-16.8,-19.4,6.734983296193095,4.955804677345547,2.7856776554368237,2.33238075793812
