,0,1,2,3,4,5,6
84,"(1, 'sib', 'po')","(0, 'po', 'Tau')",,,,,
85,"(4, 'pp', 'sib')","(1, 'sib', 'Tau')",,,,,
86,"(4, 'pp', 'Tau')",,,,,,
87,"(1, 'sib', 'sib')","(1, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,
88,"(4, 'pp', 'Tau')",,,,,,
89,"(0, 'po', 'Tau')",,,,,,
90,"(4, 'va', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
91,"(2, 'va', 'Tau')",,,,,,
92,"(4, 'pp', 'Tau')",,,,,,
93,"(4, 'pp', 'pp')","(4, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,
94,"(2, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,,
95,"(1, 'pp', 'Tau')",,,,,,
96,"(0, 'pp', 'Tau')",,,,,,
97,"(0, 'pp', 'Tau')",,,,,,
98,"(0, 'pp', 'pp')","(0, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
99,"(0, 'po', 'Tau')",,,,,,
100,"(1, 'pp', 'pp')","(1, 'pp', 'po')","(0, 'po', 'pp')","(1, 'pp', 'Tau')",,,
101,"(1, 'po', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(6, 'pp', 'pp')","(3, 'pp', 'pp')","(5, 'pp', 'pp')","(0, 'pp', 'pp')"
102,"(2, 'va', 'Tau')",,,,,,
103,"(2, 'po', 'Tau')",,,,,,
104,"(2, 'va', 'va')","(2, 'va', 'Tau')",,,,,
105,"(2, 'po', 'po')","(2, 'po', 'sib')","(2, 'sib', 'sib')","(6, 'sib', 'Tau')",,,
106,"(4, 'po', 'Tau')",,,,,,
107,"(4, 'po', 'va')","(2, 'va', 'Tau')",,,,,
108,"(2, 'va', 'pp')","(0, 'pp', 'va')","(3, 'va', 'Tau')",,,,
109,"(0, 'pp', 'Tau')",,,,,,
110,"(0, 'pp', 'va')","(3, 'va', 'Tau')",,,,,
111,"(6, 'sib', 'Tau')",,,,,,
112,"(5, 'sib', 'Tau')",,,,,,
113,"(5, 'sib', 'sib')","(6, 'sib', 'Tau')",,,,,
114,"(3, 'va', 'Tau')",,,,,,
