,0,1,2,3,4,5,6
82,"(2, 'po', 'pp')","(6, 'pp', 'va')","(0, 'va', 'Tau')",,,,
83,"(4, 'po', 'va')","(3, 'va', 'pp')","(6, 'pp', 'pp')","(4, 'pp', 'va')","(1, 'va', 'Tau')",,
84,"(1, 'va', 'po')","(5, 'po', 'Tau')",,,,,
85,"(4, 'va', 'Tau')",,,,,,
86,"(4, 'va', 'pp')","(4, 'pp', 'Tau')",,,,,
87,"(5, 'po', 'Tau')",,,,,,
88,"(6, 'po', 'sib')","(6, 'sib', 'Tau')",,,,,
89,"(1, 'va', 'Tau')",,,,,,
90,"(4, 'pp', 'Tau')",,,,,,
91,"(4, 'pp', 'sib')","(6, 'sib', 'Tau')",,,,,
92,"(5, 'po', 'Tau')",,,,,,
93,"(4, 'pp', 'Tau')",,,,,,
94,"(4, 'pp', 'pp')","(0, 'pp', 'va')","(1, 'va', 'pp')","(0, 'pp', 'Tau')",,,
95,"(1, 'sib', 'pp')","(0, 'pp', 'Tau')",,,,,
96,"(5, 'po', 'Tau')",,,,,,
97,"(0, 'pp', 'pp')","(2, 'pp', 'va')","(2, 'va', 'va')","(2, 'va', 'pp')","(2, 'pp', 'pp')","(1, 'pp', 'pp')","(0, 'pp', 'pp')"
98,"(0, 'va', 'va')","(0, 'va', 'Tau')",,,,,
99,"(0, 'va', 'va')","(2, 'va', 'va')","(0, 'va', 'va')","(1, 'va', 'Tau')",,,
100,"(6, 'sib', 'Tau')",,,,,,
101,"(1, 'va', 'Tau')",,,,,,
102,"(6, 'sib', 'pp')","(0, 'pp', 'pp')","(6, 'pp', 'Tau')",,,,
103,"(1, 'va', 'va')","(1, 'va', 'Tau')",,,,,
104,"(6, 'pp', 'Tau')",,,,,,
105,"(5, 'sib', 'Tau')",,,,,,
106,"(5, 'po', 'pp')","(6, 'pp', 'Tau')",,,,,
107,"(2, 'sib', 'sib')","(0, 'sib', 'pp')","(6, 'pp', 'pp')","(2, 'pp', 'pp')","(4, 'pp', 'pp')","(1, 'pp', 'sib')","(5, 'sib', 'va')"
108,"(1, 'pp', 'va')","(1, 'va', 'va')","(6, 'va', 'Tau')",,,,
109,"(5, 'sib', 'sib')","(3, 'sib', 'Tau')",,,,,
110,"(1, 'pp', 'Tau')",,,,,,
111,"(4, 'po', 'Tau')",,,,,,
112,"(1, 'va', 'Tau')",,,,,,
113,"(3, 'sib', 'Tau')",,,,,,
114,"(1, 'va', 'Tau')",,,,,,
115,"(4, 'po', 'Tau')",,,,,,
116,"(4, 'pp', 'Tau')",,,,,,
117,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(6, 'pp', 'Tau')",,,,
118,"(0, 'pp', 'Tau')",,,,,,
119,"(3, 'sib', 'Tau')",,,,,,
120,"(4, 'po', 'po')","(4, 'po', 'pp')","(0, 'pp', 'Tau')",,,,
121,"(3, 'sib', 'sib')","(4, 'sib', 'Tau')",,,,,
122,"(1, 'po', 'va')","(1, 'va', 'Tau')",,,,,
123,"(0, 'pp', 'Tau')",,,,,,
124,"(1, 'po', 'Tau')",,,,,,
125,"(4, 'sib', 'pp')","(0, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
126,"(3, 'sib', 'Tau')",,,,,,
127,"(3, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
128,"(1, 'va', 'va')","(1, 'va', 'pp')","(4, 'pp', 'va')","(1, 'va', 'Tau')",,,
129,"(1, 'va', 'Tau')",,,,,,
130,"(2, 'sib', 'pp')","(2, 'pp', 'po')","(1, 'po', 'pp')","(4, 'pp', 'pp')","(0, 'pp', 'va')","(1, 'va', 'Tau')",
131,"(1, 'sib', 'sib')","(5, 'sib', 'Tau')",,,,,
132,"(3, 'po', 'pp')","(0, 'pp', 'pp')","(4, 'pp', 'po')","(1, 'po', 'pp')","(3, 'pp', 'Tau')",,
133,"(2, 'po', 'Tau')",,,,,,
134,"(1, 'va', 'Tau')",,,,,,
135,"(1, 'va', 'Tau')",,,,,,
136,"(5, 'sib', 'pp')","(3, 'pp', 'Tau')",,,,,
137,"(3, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
138,"(1, 'va', 'va')","(1, 'va', 'va')","(1, 'va', 'po')","(0, 'po', 'po')","(2, 'po', 'po')","(2, 'po', 'Tau')",
139,"(3, 'pp', 'pp')","(6, 'pp', 'Tau')",,,,,
140,"(6, 'pp', 'pp')","(2, 'pp', 'pp')","(5, 'pp', 'Tau')",,,,
141,"(2, 'po', 'pp')","(5, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
142,"(3, 'pp', 'pp')","(4, 'pp', 'pp')","(1, 'pp', 'pp')","(3, 'pp', 'Tau')",,,
143,"(6, 'po', 'pp')","(3, 'pp', 'sib')","(2, 'sib', 'Tau')",,,,
144,"(2, 'po', 'po')","(0, 'po', 'po')","(2, 'po', 'Tau')",,,,
145,"(1, 'va', 'pp')","(3, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,
146,"(0, 'pp', 'va')","(1, 'va', 'Tau')",,,,,
147,"(0, 'pp', 'Tau')",,,,,,
148,"(1, 'va', 'pp')","(3, 'pp', 'Tau')",,,,,
149,"(2, 'po', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'va')","(5, 'va', 'Tau')",,,
150,"(2, 'po', 'Tau')",,,,,,
151,"(2, 'sib', 'sib')","(0, 'sib', 'sib')","(4, 'sib', 'Tau')",,,,
152,"(0, 'va', 'va')","(5, 'va', 'Tau')",,,,,
153,"(1, 'va', 'pp')","(0, 'pp', 'Tau')",,,,,
154,"(6, 'va', 'pp')","(0, 'pp', 'Tau')",,,,,
155,"(4, 'sib', 'Tau')",,,,,,
156,"(0, 'pp', 'pp')","(0, 'pp', 'pp')","(2, 'pp', 'pp')","(0, 'pp', 'Tau')",,,
157,"(0, 'pp', 'pp')","(6, 'pp', 'Tau')",,,,,
158,"(2, 'po', 'sib')","(4, 'sib', 'pp')","(6, 'pp', 'Tau')",,,,
159,"(1, 'sib', 'pp')","(6, 'pp', 'Tau')",,,,,
160,"(6, 'sib', 'Tau')",,,,,,
161,"(6, 'pp', 'po')","(2, 'po', 'Tau')",,,,,
162,"(5, 'va', 'Tau')",,,,,,
163,"(6, 'pp', 'Tau')",,,,,,
164,"(6, 'pp', 'va')","(3, 'va', 'va')","(5, 'va', 'Tau')",,,,
165,"(6, 'sib', 'po')","(2, 'po', 'pp')","(6, 'pp', 'pp')","(5, 'pp', 'Tau')",,,
166,"(5, 'va', 'Tau')",,,,,,
167,"(4, 'va', 'Tau')",,,,,,
168,"(2, 'sib', 'po')","(6, 'po', 'pp')","(5, 'pp', 'po')","(4, 'po', 'po')","(5, 'po', 'Tau')",,
169,"(5, 'po', 'Tau')",,,,,,
170,"(2, 'sib', 'Tau')",,,,,,
171,"(2, 'sib', 'Tau')",,,,,,
172,"(3, 'pp', 'pp')","(5, 'pp', 'pp')","(0, 'pp', 'pp')","(1, 'pp', 'pp')","(6, 'pp', 'Tau')",,
173,"(5, 'po', 'po')","(0, 'po', 'Tau')",,,,,
174,"(6, 'pp', 'pp')","(4, 'pp', 'pp')","(2, 'pp', 'Tau')",,,,
175,"(2, 'pp', 'Tau')",,,,,,
